committee_id,committee_name,contributor_city,contributor_state,contributor_employer,contribution_receipt_date,contribution_receipt_amount,contributor_aggregate_ytd
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,RETIRED,2019-08-26 00:00:00,500.00,500.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-08-28 00:00:00,25.00,275.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-09-26 00:00:00,25.00,275.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,EXPONENT,2019-07-19 00:00:00,63.90,263.90
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,EXPONENT,2019-08-24 00:00:00,100.00,263.90
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-07-09 00:00:00,10.00,2940.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-07-10 00:00:00,5.00,2940.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-07-29 00:00:00,390.00,2940.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-07-29 00:00:00,110.00,2940.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-08-09 00:00:00,10.00,2940.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-08-10 00:00:00,5.00,2940.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-09-09 00:00:00,10.00,2940.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-09-10 00:00:00,5.00,2940.00
C00704510,"SETH MOULTON FOR AMERICA, INC.",AMHERST,MA,N/A,2019-06-27 00:00:00,250.00,350.00
C00698050,INSLEE FOR AMERICA,AMHERST,MA,NONE,2019-05-20 00:00:00,75.00,125.00
C00698050,INSLEE FOR AMERICA,AMHERST,MA,NONE,2019-05-24 00:00:00,50.00,175.00
C00698050,INSLEE FOR AMERICA,AMHERST,MA,NONE,2019-06-30 00:00:00,50.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-07-19 00:00:00,25.00,325.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-19 00:00:00,25.00,325.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-09-19 00:00:00,25.00,325.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-30 00:00:00,100.00,400.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MA HOUSE OF REPRESENTATIVES,2019-08-13 00:00:00,35.00,386.25
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MA HOUSE OF REPRESENTATIVES,2019-08-18 00:00:00,103.90,386.25
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MA HOUSE OF REPRESENTATIVES,2019-08-24 00:00:00,55.93,386.25
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MA HOUSE OF REPRESENTATIVES,2019-09-13 00:00:00,7.00,386.25
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MA HOUSE OF REPRESENTATIVES,2019-09-16 00:00:00,104.42,386.25
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-07-11 00:00:00,50.00,1350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-07-12 00:00:00,50.00,1350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-07-30 00:00:00,100.00,1350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-11 00:00:00,50.00,1350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-12 00:00:00,50.00,1350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-29 00:00:00,100.00,1350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-09-11 00:00:00,50.00,1350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-09-12 00:00:00,50.00,1350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-09-25 00:00:00,100.00,1350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-07-18 00:00:00,25.00,423.18
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-07-28 00:00:00,50.00,423.18
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-07-30 00:00:00,10.00,423.18
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-08-18 00:00:00,25.00,423.18
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-08-28 00:00:00,10.00,423.18
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-08-30 00:00:00,10.00,423.18
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-09-18 00:00:00,25.00,423.18
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-09-19 00:00:00,5.00,423.18
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-09-28 00:00:00,10.00,423.18
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-09-30 00:00:00,10.00,423.18
C00696948,BERNIE 2020,AMHERST,MA,NOT EMPLOYED,2019-03-03 00:00:00,100.00,250.00
C00696948,BERNIE 2020,AMHERST,MA,NOT EMPLOYED,2019-03-03 00:00:00,50.00,250.00
C00696948,BERNIE 2020,AMHERST,MA,COLUMBIA UNIVERSITY,2019-03-12 00:00:00,250.00,277.00
C00696948,BERNIE 2020,AMHERST,MA,U MASS AMHERST,2019-03-31 00:00:00,1000.00,1000.00
C00696948,BERNIE 2020,AMHERST,MA,UNIVERSITY OF MASSACHUSETTS AMHERST,2019-02-19 00:00:00,500.00,500.00
C00696948,BERNIE 2020,AMHERST,MA,UNIVERSITY OF MASSACHUSETTS AMHERST,2019-03-18 00:00:00,500.00,1000.00
C00696948,BERNIE 2020,AMHERST,MA,UNIVERSITY OF MASSACHUSETTS AMHERST,2019-03-26 00:00:00,1800.00,2800.00
C00696948,BERNIE 2020,AMHERST,MA,NOT EMPLOYED,2019-02-21 00:00:00,500.00,500.00
C00696948,BERNIE 2020,AMHERST,MA,NONE,2019-03-17 00:00:00,125.00,225.00
C00696948,BERNIE 2020,AMHERST,MA,NONE,2019-03-31 00:00:00,100.00,325.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UMASS,2019-07-30 00:00:00,100.00,650.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UMASS,2019-08-30 00:00:00,100.00,650.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UMASS,2019-09-30 00:00:00,100.00,650.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST PEDIATRICS,2019-09-09 00:00:00,250.00,250.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-07-20 00:00:00,5.00,445.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-07-19 00:00:00,50.00,445.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-07-31 00:00:00,50.00,445.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-08-20 00:00:00,5.00,445.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-12 00:00:00,50.00,445.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-20 00:00:00,5.00,445.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-28 00:00:00,15.00,445.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UNIVERSITY OF MASSACHUSETTS,2019-07-02 00:00:00,200.00,233.82
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UNIVERSITY OF MASSACHUSETTS,2019-07-02 00:00:00,33.82,233.82
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-07-21 00:00:00,50.00,318.90
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-08-12 00:00:00,68.90,318.90
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-08-21 00:00:00,50.00,318.90
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-09-21 00:00:00,50.00,318.90
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-09-30 00:00:00,25.00,318.90
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,RETIRED,2019-09-09 00:00:00,100.00,300.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-07-05 00:00:00,100.00,250.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-08-16 00:00:00,50.00,250.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-09-30 00:00:00,200.00,550.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-08-28 00:00:00,100.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-14 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-14 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-14 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-07-29 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-08-29 00:00:00,25.00,225.00
