State,"BLOOMBERG, MICHAEL R.","BIDEN, JOSEPH R JR","TRUMP, DONALD J.","STEYER, TOM","SANDERS, BERNARD","WARREN, ELIZABETH","KLOBUCHAR, AMY J.","HARRIS, KAMALA D.","YANG, ANDREW MR."
NY,24950.44,72372308.55,18645835.97,136081.02,8732702.82,5163715.59,3087248.10,3289811.56,2546669.96
NJ,6101.56,19430692.98,10251006.62,13497.00,2114141.25,1074274.25,584265.12,337660.73,628827.45
CA,5581.09,145355628.55,58545273.39,659128.90,20392587.88,11303815.74,4380098.52,11422037.62,6054271.96
FL,4886.67,35874995.39,48901374.16,61634.27,2841135.94,1171034.20,1049187.83,728455.20,703805.63
TX,3374.91,32723805.90,52950031.70,20398.64,3697746.93,1817235.87,1007851.95,579848.54,1210177.69
CT,2436.30,12470617.83,3883986.82,37599.93,1039624.22,628445.72,480449.59,366578.97,250056.09
IL,1689.42,25846996.07,11493893.33,17922.45,3432348.85,1797687.70,1161383.92,677103.98,516669.56
NC,1603.83,14181622.72,11991538.50,12580.73,1634625.51,840332.19,392479.28,271366.54,326096.04
VA,1469.67,26452104.16,47822438.80,7848.00,1833140.29,1171608.93,817780.51,357168.74,492006.59
PA,1412.92,26535798.69,13318658.66,4603.56,2613921.05,1442019.01,769697.33,289927.76,455503.18
DC,1351.94,119547777.34,745520.21,6507.00,752697.40,1092299.29,579716.12,731100.87,90141.23
CO,1170.78,16615266.93,9799950.95,18979.00,2197007.67,1047552.89,693443.71,375708.66,348750.57
GA,1116.88,12195844.77,14935387.65,8835.00,1168431.51,596118.39,424544.44,470800.45,352213.76
MA,977.77,34306893.69,5821478.04,35901.58,3745598.23,5141967.83,1163036.62,716113.63,684723.55
MD,875.22,26507531.94,6206871.17,11723.50,1695095.97,1261481.61,868311.72,564451.33,403655.60
HI,856.28,2261599.96,1632950.25,475.00,476662.59,187147.47,42484.05,35060.08,137582.86
UT,681.43,3154602.70,3272584.35,350.00,529206.66,222163.25,72578.83,52948.07,126386.25
AZ,653.80,9416056.89,13620331.30,8388.00,1382282.02,586315.54,313420.05,136716.47,256884.25
IA,646.29,2794481.64,2864726.46,2641.02,592662.76,295300.37,204972.84,57723.12,114886.62
WA,584.35,30463424.34,9984225.71,14163.11,5348581.23,2982666.99,964591.77,680773.58,1111903.01
IN,533.93,5023804.91,6514637.19,826.00,830546.88,286194.62,113776.05,91592.16,133711.00
OR,271.72,12504685.78,4941602.44,7319.41,2579302.63,1354358.09,396285.95,195376.79,449241.66
WI,269.02,6652779.82,5983825.97,5971.00,1218872.26,587751.16,275716.51,94170.81,192927.55
MO,265.43,6318654.07,6472521.36,4020.00,889305.42,382010.24,190793.64,69316.45,194303.29
AL,212.82,2829740.49,6165437.22,1110.00,306101.54,129912.99,64231.72,65468.40,86837.02
MI,208.57,12065498.58,11111286.82,2517.00,2047891.75,864228.82,312441.39,205760.44,316741.30
ID,206.39,2143693.97,2906603.72,1825.00,277197.50,100143.92,47941.93,16897.88,63941.23
SC,160.74,4855530.59,6474861.69,7546.71,436983.08,160753.19,181771.67,108462.91,163636.46
NE,124.16,1355791.06,2222997.98,968.82,274094.19,102825.85,50575.05,20980.57,46887.60
KY,111.30,2949430.51,3896751.67,3072.66,444037.79,180314.94,80464.15,31147.41,73490.12
RI,111.04,2671523.73,747156.41,1500.00,315312.36,221365.52,52709.70,29586.45,74101.89
DE,98.74,4767898.41,1088931.18,250.00,136510.91,82761.99,46314.14,17299.99,29892.32
TN,66.23,7141602.73,9210367.12,3723.11,813685.28,371443.82,294701.24,107534.92,131471.62
AA,0.00,29219.77,3764.50,0.00,5075.80,1198.22,0.00,100.00,3586.61
AE,0.00,227805.12,50479.41,0.00,45763.27,30803.50,5525.00,3003.00,13370.24
AK,0.00,1339121.90,1616814.34,0.00,316511.82,120526.64,37640.65,17072.62,31937.82
AP,0.00,58681.52,28164.88,0.00,23033.10,8820.64,2225.00,1050.00,20334.95
AR,0.00,2088712.78,2857406.44,250.00,245959.34,100116.77,91371.98,13026.68,47341.37
AS,0.00,5322.00,2512.70,0.00,741.00,120.00,0.00,0.00,643.35
GU,0.00,47748.35,231735.86,0.00,4340.86,1805.96,325.00,110.00,1986.59
KS,0.00,2433014.52,3637552.32,1050.00,382640.54,149667.67,79587.03,30639.70,72959.77
LA,0.00,3084111.96,6472649.75,600.00,352725.53,177867.42,62288.58,122318.66,102153.87
ME,0.00,2866857.71,1011018.50,523.00,564178.30,293367.68,87984.88,35957.89,65100.65
MN,0.00,10341386.39,5473083.30,9233.44,1519485.78,660727.66,3720204.48,74901.63,323699.23
MP,0.00,7850.00,6203.27,0.00,227.00,403.00,0.00,250.00,472.72
MS,0.00,926865.00,2894142.06,0.00,108398.82,43530.52,19602.65,16967.70,23184.95
MT,0.00,1339384.26,2029378.15,250.00,236617.10,92981.12,74185.32,22118.68,34840.59
ND,0.00,349513.08,1217491.63,5360.00,87969.14,17397.30,33373.11,9163.88,23262.50
NH,0.00,3469192.12,1823456.63,20321.00,636300.02,311304.72,305825.25,66828.91,139981.83
NM,0.00,4607403.32,3236415.64,1840.36,638910.16,437863.90,142232.57,93220.27,83734.05
NV,0.00,4369966.41,6936806.13,16235.45,653874.06,230043.71,112709.71,128283.66,228486.68
OH,0.00,13041428.10,12766876.29,30600.63,1600959.12,669982.13,308272.03,170266.88,347941.32
OK,0.00,2554155.81,5512961.35,1790.00,424622.77,194073.63,67020.45,31906.41,81936.02
OT,0.00,220477.34,145509.78,500.00,10965.83,0.00,14350.00,16171.64,112860.79
PR,0.00,293449.63,117050.82,0.00,67309.69,15512.71,1150.00,11932.85,12287.38
SD,0.00,667703.81,1311801.17,110.00,108418.10,35078.26,65934.84,5994.85,19972.25
VI,0.00,166179.14,16692.39,50.00,13018.41,2344.60,3000.00,1094.07,9214.35
VT,0.00,2279808.20,340400.86,1375.00,1026622.04,216213.44,99404.08,37089.63,28451.94
WV,0.00,1030307.48,1399175.76,1486.00,171645.46,49389.32,34013.03,15376.76,29603.56
WY,0.00,1008266.99,1457838.23,2000.00,78319.25,33168.14,64073.55,14703.73,14798.54
ZZ,0.00,2357132.44,32154.80,0.00,452875.57,182629.34,30917.00,23701.73,13649.16
,,,,,,,,,
